                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                  SOURCE CODE DIFFERENTIAL RESULTS                                  
                              Generated by UCC v.2015.12 on 5 30 2016                              
                                  UCC -d -dir ./src ../UCC_old/src                                  

New Lines,Deleted Lines,Modified Lines,Unmodified Lines,Modification Type,Language,Module A,Module B
0,2,0,11,Mod,"C_CPP","./src/CPhpCounter.h","../UCC_old/src/CPhpCounter.h"
22,24,14,547,Mod,"C_CPP","./src/CPythonCounter.cpp","../UCC_old/src/CPythonCounter.cpp"
0,4,0,14,Mod,"C_CPP","./src/CPythonCounter.h","../UCC_old/src/CPythonCounter.h"
0,0,4,351,Mod,"C_CPP","./src/CRubyCounter.cpp","../UCC_old/src/CRubyCounter.cpp"
0,2,0,11,Mod,"C_CPP","./src/CRubyCounter.h","../UCC_old/src/CRubyCounter.h"
0,400,0,0,Del,"C_CPP","./src/CScalaCounter.cpp","NA"
0,12,0,0,Del,"C_CPP","./src/CScalaCounter.h","NA"
3,151,16,391,Mod,"C_CPP","./src/CSqlCounter.cpp","../UCC_old/src/CSqlCounter.cpp"
0,4,0,11,Mod,"C_CPP","./src/CSqlCounter.h","../UCC_old/src/CSqlCounter.h"
0,0,0,168,Unmod,"C_CPP","./src/CTagCounter.cpp","../UCC_old/src/CTagCounter.cpp"
0,2,0,11,Mod,"C_CPP","./src/CTagCounter.h","../UCC_old/src/CTagCounter.h"
25,610,38,319,Mod,"C_CPP","./src/CUtil.cpp","../UCC_old/src/CUtil.cpp"
2,44,2,25,Mod,"C_CPP","./src/CUtil.h","../UCC_old/src/CUtil.h"
0,0,2,387,Mod,"C_CPP","./src/CVbCounter.cpp","../UCC_old/src/CVbCounter.cpp"
0,2,0,10,Mod,"C_CPP","./src/CVbCounter.h","../UCC_old/src/CVbCounter.h"
0,0,2,55,Mod,"C_CPP","./src/CVbscriptCounter.cpp","../UCC_old/src/CVbscriptCounter.cpp"
0,16,0,21,Mod,"C_CPP","./src/CVbscriptCounter.h","../UCC_old/src/CVbscriptCounter.h"
5,1,10,768,Mod,"C_CPP","./src/CVerilogCounter.cpp","../UCC_old/src/CVerilogCounter.cpp"
0,3,0,12,Mod,"C_CPP","./src/CVerilogCounter.h","../UCC_old/src/CVerilogCounter.h"
6,3,5,972,Mod,"C_CPP","./src/CVHDLCounter.cpp","../UCC_old/src/CVHDLCounter.cpp"
0,3,3,16,Mod,"C_CPP","./src/CVHDLCounter.h","../UCC_old/src/CVHDLCounter.h"
0,9,32,644,Mod,"C_CPP","./src/CWebCounter.cpp","../UCC_old/src/CWebCounter.cpp"
0,3,2,63,Mod,"C_CPP","./src/CWebCounter.h","../UCC_old/src/CWebCounter.h"
0,0,0,38,Unmod,"C_CPP","./src/CXMidasCounter.cpp","../UCC_old/src/CXMidasCounter.cpp"
0,2,0,6,Mod,"C_CPP","./src/CXMidasCounter.h","../UCC_old/src/CXMidasCounter.h"
0,0,0,7,Unmod,"C_CPP","./src/CXmlCounter.cpp","../UCC_old/src/CXmlCounter.cpp"
0,2,0,6,Mod,"C_CPP","./src/CXmlCounter.h","../UCC_old/src/CXmlCounter.h"
103,252,81,583,Mod,"C_CPP","./src/DiffTool.cpp","../UCC_old/src/DiffTool.cpp"
1,7,5,59,Mod,"C_CPP","./src/DiffTool.h","../UCC_old/src/DiffTool.h"
0,489,0,0,Del,"C_CPP","./src/LangUtils.cpp","NA"
0,67,0,0,Del,"C_CPP","./src/LangUtils.h","NA"
2,157,6,15,Mod,"C_CPP","./src/main.cpp","../UCC_old/src/main.cpp"
7061,494,246,433,Mod,"C_CPP","./src/MainObject.cpp","../UCC_old/src/MainObject.cpp"
70,8,8,108,Mod,"C_CPP","./src/MainObject.h","../UCC_old/src/MainObject.h"
0,56,0,0,Del,"C_CPP","./src/sema.h","NA"
0,11,0,0,Del,"C_CPP","./src/UCCAfterLibraryIncludes.h","NA"
0,6,0,0,Del,"C_CPP","./src/UCCBeforeLibraryIncludes.h","NA"
0,508,0,0,Del,"C_CPP","./src/UCCExceptDump.cpp","NA"
0,35,0,0,Del,"C_CPP","./src/UCCExceptDump.h","NA"
0,6911,0,0,Del,"C_CPP","./src/UCCFilesOut.cpp","NA"
0,99,0,0,Del,"C_CPP","./src/UCCFilesOut.h","NA"
0,49,0,0,Del,"C_CPP","./src/UCCGlobals.cpp","NA"
0,51,0,0,Del,"C_CPP","./src/UCCGlobals.h","NA"
0,1829,0,0,Del,"C_CPP","./src/UCCThread.cpp","NA"
0,77,0,0,Del,"C_CPP","./src/UCCThread.h","NA"
4,58,12,92,Mod,"C_CPP","./src/UserIF.cpp","../UCC_old/src/UserIF.cpp"
0,6,3,31,Mod,"C_CPP","./src/UserIF.h","../UCC_old/src/UserIF.h"
341,0,0,0,Add,"C_CPP","NA","../UCC_old/src/CCJavaCsCounter.cpp"
10,0,0,0,Add,"C_CPP","NA","../UCC_old/src/CCJavaCsCounter.h"

Total New Lines,Total Deleted Lines,Total Modified Lines,Total Unmodified Lines
7726,15449,561,14005
