                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 5 30 2016                              
                              UCC -d -dir ./src ../UCC_old/src -ascii                              

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
 Total_CC1 Total_CC2 Total_CC3 Average_CC1  Risk        |   Name
         4            4            4   Low         int CCFScriptCounter::LanguageSpecificProcess                  |   ../UCC_old/src/CCFScriptCounter.cpp
        57           81           53   Very High   void CCFScriptCounter::LSLOC                                   |   ../UCC_old/src/CCFScriptCounter.cpp
        19           34           19   Medium      int CCFScriptCounter::ParseFunctionName                        |   ../UCC_old/src/CCFScriptCounter.cpp
         1            1            1   Low         CCJavaCsCounter::CCJavaCsCounter                               |   ../UCC_old/src/CCJavaCsCounter.cpp
        14           16           14   Medium      int CCJavaCsCounter::CountDirectiveSLOC                        |   ../UCC_old/src/CCJavaCsCounter.cpp
         4            4            4   Low         int CCJavaCsCounter::LanguageSpecificProcess                   |   ../UCC_old/src/CCJavaCsCounter.cpp
        60           86           56   Very High   void CCJavaCsCounter::LSLOC                                    |   ../UCC_old/src/CCJavaCsCounter.cpp
        19           34           19   Medium      int CCJavaCsCounter::ParseFunctionName                         |   ../UCC_old/src/CCJavaCsCounter.cpp
         1            1            1   Low         CCodeCounter::CCodeCounter                                     |   ../UCC_old/src/CCodeCounter.cpp
         1            1            1   Low         CCodeCounter::~CCodeCounter                                    |   ../UCC_old/src/CCodeCounter.cpp
         1            1            1   Low         void CCodeCounter::InitializeCounts                            |   ../UCC_old/src/CCodeCounter.cpp
         1            1            1   Low         void CCodeCounter::InitializeResultsCounts                     |   ../UCC_old/src/CCodeCounter.cpp
         2            2            2   Low         int CCodeCounter::CountSLOC                                    |   ../UCC_old/src/CCodeCounter.cpp
        11           18           11   Medium      bool CCodeCounter::IsSupportedFileExtension                    |   ../UCC_old/src/CCodeCounter.cpp
         7            7            7   Low         ofstream*CCodeCounter::GetOutputStream                         |   ../UCC_old/src/CCodeCounter.cpp
         3            3            3   Low         void CCodeCounter::CloseOutputStream                           |   ../UCC_old/src/CCodeCounter.cpp
         4            5            4   Low         size_t CCodeCounter::FindQuote                                 |   ../UCC_old/src/CCodeCounter.cpp
         6            8            6   Low         int CCodeCounter::ReplaceQuote                                 |   ../UCC_old/src/CCodeCounter.cpp
         3            3            3   Low         int CCodeCounter::CountBlankSLOC                               |   ../UCC_old/src/CCodeCounter.cpp
        27           34           24   High        int CCodeCounter::CountCommentsSLOC                            |   ../UCC_old/src/CCodeCounter.cpp
        11           12           11   Medium      int CCodeCounter::FindCommentStart                             |   ../UCC_old/src/CCodeCounter.cpp
        36           52           36   High        int CCodeCounter::CountComplexity                              |   ../UCC_old/src/CCodeCounter.cpp
         3            3            3   Low         int CCodeCounter::LanguageSpecificProcess                      |   ../UCC_old/src/CCodeCounter.cpp
         1            1            1   Low         CColdFusionCounter::CColdFusionCounter                         |   ../UCC_old/src/CColdFusionCounter.cpp
         6            6            6   Low         int CColdFusionCounter::PreCountProcess                        |   ../UCC_old/src/CColdFusionCounter.cpp
         5            5            5   Low         int CColdFusionCounter::ParseFunctionName                      |   ../UCC_old/src/CColdFusionCounter.cpp
         1            1            1   Low         CCsharpCounter::CCsharpCounter                                 |   ../UCC_old/src/CCsharpCounter.cpp
         8            9            8   Low         int CCsharpCounter::PreCountProcess                            |   ../UCC_old/src/CCsharpCounter.cpp
         9           17            9   Low         int CCsharpCounter::ReplaceQuote                               |   ../UCC_old/src/CCsharpCounter.cpp
         1            1            1   Low         CCsharpHtmlCounter::CCsharpHtmlCounter                         |   ../UCC_old/src/CCsharpCounter.cpp
         1            1            1   Low         CCsharpXmlCounter::CCsharpXmlCounter                           |   ../UCC_old/src/CCsharpCounter.cpp
         1            1            1   Low         CCsharpAspCounter::CCsharpAspCounter                           |   ../UCC_old/src/CCsharpCounter.cpp
         1            1            1   Low         CCshCounter::CCshCounter                                       |   ../UCC_old/src/CCshCounter.cpp
         5            7            5   Low         int CCshCounter::PreCountProcess                               |   ../UCC_old/src/CCshCounter.cpp
         4            4            4   Low         int CCshCounter::LanguageSpecificProcess                       |   ../UCC_old/src/CCshCounter.cpp
        48           64           48   High        void CCshCounter::LSLOC                                        |   ../UCC_old/src/CCshCounter.cpp
        37           53           37   High        int CCshCounter::CountComplexity                               |   ../UCC_old/src/CCshCounter.cpp
         7           10            7   Low         string CCshCounter::echoHelper                                 |   ../UCC_old/src/CCshCounter.cpp
         1            1            1   Low         CCssCounter::CCssCounter                                       |   ../UCC_old/src/CCssCounter.cpp
         5            5            5   Low         int CCssCounter::LanguageSpecificProcess                       |   ../UCC_old/src/CCssCounter.cpp
         9           12            7   Low         void CCssCounter::LSLOC                                        |   ../UCC_old/src/CCssCounter.cpp
         1            1            1   Low         CDataCounter::CDataCounter                                     |   ../UCC_old/src/CDataCounter.cpp
         1            1            1   Low         CFortranCounter::CFortranCounter                               |   ../UCC_old/src/CFortranCounter.cpp
         5            8            5   Low         int CFortranCounter::PreCountProcess                           |   ../UCC_old/src/CFortranCounter.cpp
        35           49           32   High        int CFortranCounter::CountCommentsSLOC                         |   ../UCC_old/src/CFortranCounter.cpp
        15           16           15   Medium      int CFortranCounter::CountDirectiveSLOC                        |   ../UCC_old/src/CFortranCounter.cpp
         9           12            9   Low         int CFortranCounter::LanguageSpecificProcess                   |   ../UCC_old/src/CFortranCounter.cpp
        73           89           73   Very High   void CFortranCounter::LSLOC                                    |   ../UCC_old/src/CFortranCounter.cpp
         8            9            8   Low         int CFortranCounter::ParseFunctionName                         |   ../UCC_old/src/CFortranCounter.cpp
         1            1            1   Low         CHtmlCounter::CHtmlCounter                                     |   ../UCC_old/src/CHtmlCounter.cpp
         1            1            1   Low         CHtmlPhpCounter::CHtmlPhpCounter                               |   ../UCC_old/src/CHtmlCounter.cpp
         1            1            1   Low         CHtmlJspCounter::CHtmlJspCounter                               |   ../UCC_old/src/CHtmlCounter.cpp
         1            1            1   Low         CHtmlAspCounter::CHtmlAspCounter                               |   ../UCC_old/src/CHtmlCounter.cpp
         1            1            1   Low         CHtmlColdFusionCounter::CHtmlColdFusionCounter                 |   ../UCC_old/src/CHtmlCounter.cpp
         1            1            1   Low         CJavaCounter::CJavaCounter                                     |   ../UCC_old/src/CJavaCounter.cpp
         1            1            1   Low         CJavaJspCounter::CJavaJspCounter                               |   ../UCC_old/src/CJavaCounter.cpp
         1            1            1   Low         CJavascriptCounter::CJavascriptCounter                         |   ../UCC_old/src/CJavascriptCounter.cpp
