                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 5 30 2016                              
                              UCC -d -dir ./src ../UCC_old/src -ascii                              

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
 Total_CC1 Total_CC2 Total_CC3 Average_CC1  Risk        |   Name
         1            1            1   Low         CVbsAspServerCounter::CVbsAspServerCounter                     |   ../UCC_old/src/CVbscriptCounter.cpp
         1            1            1   Low         CVbsAspClientCounter::CVbsAspClientCounter                     |   ../UCC_old/src/CVbscriptCounter.cpp
         1            1            1   Low         CVbsColdFusionCounter::CVbsColdFusionCounter                   |   ../UCC_old/src/CVbscriptCounter.cpp
         1            1            1   Low         CVerilogCounter::CVerilogCounter                               |   ../UCC_old/src/CVerilogCounter.cpp
        12           13           12   Medium      int CVerilogCounter::CountDirectiveSLOC                        |   ../UCC_old/src/CVerilogCounter.cpp
         4            4            4   Low         int CVerilogCounter::LanguageSpecificProcess                   |   ../UCC_old/src/CVerilogCounter.cpp
        70          103           68   Very High   void CVerilogCounter::LSLOC                                    |   ../UCC_old/src/CVerilogCounter.cpp
        10           10           10   Low         int CVerilogCounter::ParseFunctionName                         |   ../UCC_old/src/CVerilogCounter.cpp
        49           78           49   High        int CVerilogCounter::CountComplexity                           |   ../UCC_old/src/CVerilogCounter.cpp
         1            1            1   Low         !r_tlvIter->token.compare                                      |   ../UCC_old/src/CVerilogCounter.cpp
         1            1            1   Low         CVHDLCounter::CVHDLCounter                                     |   ../UCC_old/src/CVHDLCounter.cpp
         3            3            3   Low         int CVHDLCounter::ReplaceQuote                                 |   ../UCC_old/src/CVHDLCounter.cpp
        31           38           28   High        int CVHDLCounter::CountCommentsSLOC                            |   ../UCC_old/src/CVHDLCounter.cpp
        53           77           53   Very High   int CVHDLCounter::CountComplexity                              |   ../UCC_old/src/CVHDLCounter.cpp
         6            7            6   Low         int CVHDLCounter::CountDirectiveSLOC                           |   ../UCC_old/src/CVHDLCounter.cpp
         6           10            6   Low         int CVHDLCounter::LanguageSpecificProcess                      |   ../UCC_old/src/CVHDLCounter.cpp
         3            7            3   Low         void CVHDLCounter::FoundSLOC                                   |   ../UCC_old/src/CVHDLCounter.cpp
       114          168          111   Very High   void CVHDLCounter::LSLOC                                       |   ../UCC_old/src/CVHDLCounter.cpp
        12           12           12   Medium      int CVHDLCounter::ParseFunctionName                            |   ../UCC_old/src/CVHDLCounter.cpp
         1            1            1   Low         !r_tlvIter->token.compare                                      |   ../UCC_old/src/CVHDLCounter.cpp
         1            1            1   Low         CWebCounter::CWebCounter                                       |   ../UCC_old/src/CWebCounter.cpp
         3            3            3   Low         void CWebCounter::CleanSeparatedFile                           |   ../UCC_old/src/CWebCounter.cpp
         2            2            2   Low         void CWebCounter::CleanSeparatedLine                           |   ../UCC_old/src/CWebCounter.cpp
        89          101           68   Very High   int CWebCounter::CountSLOC                                     |   ../UCC_old/src/CWebCounter.cpp
        42           42           42   High        ofstream*CWebCounter::GetOutputStream                          |   ../UCC_old/src/CWebCounter.cpp
        13           13           13   Medium      void CWebCounter::CloseOutputStream                            |   ../UCC_old/src/CWebCounter.cpp
         7            7            7   Low         void CWebCounter::UpdateWebFileExt                             |   ../UCC_old/src/CWebCounter.cpp
         6            6            6   Low         WebType CWebCounter::GetWebType                                |   ../UCC_old/src/CWebCounter.cpp
         6            6            2   Low         string CWebCounter::GetWebLangName                             |   ../UCC_old/src/CWebCounter.cpp
         1            1            1   Low         CXMidasCounter::CXMidasCounter                                 |   ../UCC_old/src/CXMidasCounter.cpp
         1            1            1   Low         CXmlCounter::CXmlCounter                                       |   ../UCC_old/src/CXmlCounter.cpp
         1            1            1   Low         DiffTool::DiffTool                                             |   ../UCC_old/src/DiffTool.cpp
        26           27           26   High        int DiffTool::diffToolProcess                                  |   ../UCC_old/src/DiffTool.cpp
         3            4            3   Low         int DiffTool::ReadAllDiffFiles                                 |   ../UCC_old/src/DiffTool.cpp
        45           54           45   High        void DiffTool::MatchBaseLines                                  |   ../UCC_old/src/DiffTool.cpp
         8            8            8   Low         int DiffTool::CompareFileNames                                 |   ../UCC_old/src/DiffTool.cpp
        22           25           22   High        void DiffTool::ProcessPairs                                    |   ../UCC_old/src/DiffTool.cpp
        13           16           13   Medium      void DiffTool::PrintMatchedPairs                               |   ../UCC_old/src/DiffTool.cpp
        67           92           67   Very High   void DiffTool::PrintDiffResults                                |   ../UCC_old/src/DiffTool.cpp
         7           10            7   Low         int main                                                       |   ../UCC_old/src/main.cpp
         1            1            1   Low         MainObject::MainObject                                         |   ../UCC_old/src/MainObject.cpp
         3            3            3   Low         MainObject::~MainObject                                        |   ../UCC_old/src/MainObject.cpp
         3            3            3   Low         void MainObject::SetCounterOptions                             |   ../UCC_old/src/MainObject.cpp
         2            2            2   Low         void MainObject::ResetCounterCounts                            |   ../UCC_old/src/MainObject.cpp
        32           32           21   High        void MainObject::UpdateCounterCounts                           |   ../UCC_old/src/MainObject.cpp
        22           22           22   High        int MainObject::MainProcess                                    |   ../UCC_old/src/MainObject.cpp
        49           59           49   High        int MainObject::ParseCommandLine                               |   ../UCC_old/src/MainObject.cpp
        17           21           17   Medium      void MainObject::ShowUsage                                     |   ../UCC_old/src/MainObject.cpp
        15           19           15   Medium      void MainObject::ReadUserExtMapping                            |   ../UCC_old/src/MainObject.cpp
        18           18           18   Medium      void MainObject::CreateExtMap                                  |   ../UCC_old/src/MainObject.cpp
        41           51           41   High        int MainObject::ReadAllFiles                                   |   ../UCC_old/src/MainObject.cpp
        17           18           17   Medium      void MainObject::ProcessSourceList                             |   ../UCC_old/src/MainObject.cpp
        14           14           14   Medium      void MainObject::WriteUncountedFile                            |   ../UCC_old/src/MainObject.cpp
         5            6            5   Low         ClassType MainObject::DecideLanguage                           |   ../UCC_old/src/MainObject.cpp
         3            3            3   Low         bool MainObject::IsSupportedFileExtension                      |   ../UCC_old/src/MainObject.cpp
         3            4            3   Low         string MainObject::GetLanguageName                             |   ../UCC_old/src/MainObject.cpp
        11           11           11   Medium      void MainObject::GetLanguageExtensionMap                       |   ../UCC_old/src/MainObject.cpp
       288          342          266   Very High   int MainObject::PrintCountResults                              |   ../UCC_old/src/MainObject.cpp
         6            6            6   Low         ofstream*MainObject::GetTotalOutputStream                      |   ../UCC_old/src/MainObject.cpp
         3            3            3   Low         void MainObject::CloseTotalOutputStream                        |   ../UCC_old/src/MainObject.cpp
       215          260          193   Very High   int MainObject::PrintTotalCountResults                         |   ../UCC_old/src/MainObject.cpp
         6            6            6   Low         ofstream*MainObject::GetOutputSummaryStream                    |   ../UCC_old/src/MainObject.cpp
         3            3            3   Low         void MainObject::CloseOutputSummaryStream                      |   ../UCC_old/src/MainObject.cpp
        25           26           25   High        int MainObject::PrintCountSummary                              |   ../UCC_old/src/MainObject.cpp
       123          150          123   Very High   int MainObject::PrintComplexityResults                         |   ../UCC_old/src/MainObject.cpp
       130          149          130   Very High   int MainObject::PrintCyclomaticComplexity                      |   ../UCC_old/src/MainObject.cpp
        10           11           10   Low         void MainObject::PrintDuplicateSummary                         |   ../UCC_old/src/MainObject.cpp
         6            6            6   Low         void MainObject::PrintDuplicateList                            |   ../UCC_old/src/MainObject.cpp
         9           12            9   Low         void MainObject::FindDuplicateFiles                            |   ../UCC_old/src/MainObject.cpp
        40           51           40   High        bool MainObject::FindDuplicateFor                              |   ../UCC_old/src/MainObject.cpp
         1            1            1   Low         void MainObject::CompareForDuplicate                           |   ../UCC_old/src/MainObject.cpp
         1            1            1   Low         void MainObject::ConnectUserIF                                 |   ../UCC_old/src/MainObject.cpp
         1            1            1   Low         UserIF::UserIF                                                 |   ../UCC_old/src/UserIF.cpp
         3            4            3   Low         void UserIF::SetErrorFile                                      |   ../UCC_old/src/UserIF.cpp
         7            8            7   Low         void UserIF::AddError                                          |   ../UCC_old/src/UserIF.cpp
         9           10            9   Low         void UserIF::updateProgress                                    |   ../UCC_old/src/UserIF.cpp
         1            1            1   Low         bool UserIF::isCanceled                                        |   ../UCC_old/src/UserIF.cpp
         2            2            2   Low         :QObject                                                       |   ../UCC_old/src/UserIF.cpp
         3            4            3   Low         void UserIF::SetErrorFile                                      |   ../UCC_old/src/UserIF.cpp
         6            7            6   Low         void UserIF::AddError                                          |   ../UCC_old/src/UserIF.cpp
         2            3            2   Low         void UserIF::updateProgress                                    |   ../UCC_old/src/UserIF.cpp
         1            1            1   Low         void UserIF::cancelExecution                                   |   ../UCC_old/src/UserIF.cpp
         1            1            1   Low         bool UserIF::isCanceled                                        |   ../UCC_old/src/UserIF.cpp
------------------------------------------------------------------------------------------------------------------+-----------------------
      4050         5070         3911   Totals      283  Functions                                                 |   42  File(s)
     14.31        17.92        13.82   Averages    6.7  Functions per File   (Averages = Totals/Functions)
