                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                  SOURCE CODE DIFFERENTIAL RESULTS                                  
                              Generated by UCC v.2015.12 on 5 30 2016                              
                              UCC -d -dir ./src ../UCC_old/src -ascii                              

New             | Deleted         | Modified        | Unmodified      | Module         
Lines           | Lines           | Lines           | Lines           | Name           
------------------------------------------------------------------------------------------------------------------------
103             | 252             | 81              | 583             | ../UCC_old/src/DiffTool.cpp
1               | 7               | 5               | 59              | ../UCC_old/src/DiffTool.h
0               | 489             | 0               | 0               | ./src/LangUtils.cpp
0               | 67              | 0               | 0               | ./src/LangUtils.h
2               | 157             | 6               | 15              | ../UCC_old/src/main.cpp
7061            | 494             | 246             | 433             | ../UCC_old/src/MainObject.cpp
70              | 8               | 8               | 108             | ../UCC_old/src/MainObject.h
0               | 56              | 0               | 0               | ./src/sema.h   
0               | 11              | 0               | 0               | ./src/UCCAfterLibraryIncludes.h
0               | 6               | 0               | 0               | ./src/UCCBeforeLibraryIncludes.h
0               | 508             | 0               | 0               | ./src/UCCExceptDump.cpp
0               | 35              | 0               | 0               | ./src/UCCExceptDump.h
0               | 6911            | 0               | 0               | ./src/UCCFilesOut.cpp
0               | 99              | 0               | 0               | ./src/UCCFilesOut.h
0               | 49              | 0               | 0               | ./src/UCCGlobals.cpp
0               | 51              | 0               | 0               | ./src/UCCGlobals.h
0               | 1829            | 0               | 0               | ./src/UCCThread.cpp
0               | 77              | 0               | 0               | ./src/UCCThread.h
4               | 58              | 12              | 92              | ../UCC_old/src/UserIF.cpp
0               | 6               | 3               | 31              | ../UCC_old/src/UserIF.h
341             | 0               | 0               | 0               | ../UCC_old/src/CCJavaCsCounter.cpp
10              | 0               | 0               | 0               | ../UCC_old/src/CCJavaCsCounter.h


Total           | Total           | Total           | Total          
New             | Deleted         | Modified        | Unmodified     
Lines           | Lines           | Lines           | Lines          
-------------------------------------------------------------------------
7726            | 15449           | 561             | 14005          

